turntid;dyadid;experimenttype;INTERFACEUSED;TURNTYPE;Sender;Text;Deletes1;Deletes2;TimestampReceived;Duration;GameNo;MazeID;Translation;;;;;;;;;;;;;;;;;;;;;;
2088;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;hello;;;1,59042E+12;1180;0;3;Hello;;;;;;;;;;;;;;;;;;;;;;
2089;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;helloHIk begin?;;;1,59042E+12;167246;0;3;helloHi start?;;;;;;;;;;;;;;;;;;;;;;
2090;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;JA a;;;1,59042E+12;1353;0;3;YES a;;;;;;;;;;;;;;;;;;;;;;
2091;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;Ok;;;1,59042E+12;189;0;3;OK;;;;;;;;;;;;;;;;;;;;;;
2092;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;ben;;;1,59042E+12;159;0;3;am;;;;;;;;;;;;;;;;;;;;;;
2093;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;hHelemaal links onder kun je een vierkant maken met 4 vblokjes?;;;1,59042E+12;15204;0;3;hAt the bottom left you can make a square with 4 v cubes?;;;;;;;;;;;;;;;;;;;;;;
2094;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ik kan niet helemaal nlinks onder komen;;;1,59042E+12;6464;0;3;I can't quite get left;;;;;;;;;;;;;;;;;;;;;;
2095;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;nee maar zie je helemaal links onder 4 blokes?;;;1,59042E+12;6424;0;3;no but do you see on the far left under 4 blocks?;;;;;;;;;;;;;;;;;;;;;;
2096;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;JA;;;1,59042E+12;84;0;3;YES;;;;;;;;;;;;;;;;;;;;;;
2097;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;Ik heb het rechter bovenste blokje nodig;;;1,59042E+12;6467;0;3;I need the top right block;;;;;;;;;;;;;;;;;;;;;;
