turntid;dyadid;experimenttype;INTERFACEUSED;TURNTYPE;Sender;Text;Deletes1;Deletes2;TimestampReceived;Duration;GameNo;MazeID;;;;;;;;;;;;;;;;;;;;;;;
2088;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;hello;;;1,59042E+12;1180;0;3;;;;;;;;;;;;;;;;;;;;;;;
2089;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;helloHIk begin?;;;1,59042E+12;167246;0;3;;;;;;;;;;;;;;;;;;;;;;;
2090;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;JA a;;;1,59042E+12;1353;0;3;;;;;;;;;;;;;;;;;;;;;;;
2091;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;Ok;;;1,59042E+12;189;0;3;;;;;;;;;;;;;;;;;;;;;;;
2092;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;ben;;;1,59042E+12;159;0;3;;;;;;;;;;;;;;;;;;;;;;;
2093;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;hHelemaal links onder kun je een vierkant maken met 4 vblokjes?;;;1,59042E+12;15204;0;3;;;;;;;;;;;;;;;;;;;;;;;
2094;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ik kan niet helemaal nlinks onder komen;;;1,59042E+12;6464;0;3;;;;;;;;;;;;;;;;;;;;;;;
2095;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;nee maar zie je helemaal links onder 4 blokes?;;;1,59042E+12;6424;0;3;;;;;;;;;;;;;;;;;;;;;;;
2096;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;JA;;;1,59042E+12;84;0;3;;;;;;;;;;;;;;;;;;;;;;;
2097;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;Ik heb het rechter bovenste blokje nodig;;;1,59042E+12;6467;0;3;;;;;;;;;;;;;;;;;;;;;;;
2101;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;OkeIk heb van de linkerrij de onderste nodig;;;1,59042E+12;12667;0;3;;;;;;;;;;;;;;;;;;;;;;;
2106;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;Gaat je poortje open?;;;1,59042E+12;5246;0;3;;;;;;;;;;;;;;;;;;;;;;;
