experiment_type;Interface_used;gameid;game_length
WYSIWYGTBT;WYSIWYG;1;161453
WYSIWYGTBT;WYSIWYG;2;363516
WYSIWYGTBT;WYSIWYG;3;343907
WYSIWYGTBT;WYSIWYG;4;217148
WYSIWYGTBT;WYSIWYG;5;254249
WYSIWYGTBT;WYSIWYG;6;89027
WYSIWYGTBT;WYSIWYG;7;85440
WYSIWYGTBT;WYSIWYG;8;57177
WYSIWYGTBT;WYSIWYG;9;149263
WYSIWYGTBT;WYSIWYG;10;89424
WYSIWYGTBT;WYSIWYG;11;143635
WYSIWYGTBT;WYSIWYG;12;960435
WYSIWYGTBT;WYSIWYG;13;200992
WYSIWYGTBT;WYSIWYG;14;90940
WYSIWYGTBT;WYSIWYG;15;106074
WYSIWYGTBT;WYSIWYG;16;222807
WYSIWYGTBT;WYSIWYG;17;172047
WYSIWYGTBT;WYSIWYG;18;132301
WYSIWYGTBT;WYSIWYG;19;40521
WYSIWYGTBT;WYSIWYG;20;82752
WYSIWYGTBT;WYSIWYG;21;85585
WYSIWYGTBT;WYSIWYG;22;1001859
WYSIWYGTBT;WYSIWYG;23;493007
WYSIWYGTBT;WYSIWYG;24;269203
WYSIWYGTBT;WYSIWYG;25;171110
WYSIWYGTBT;WYSIWYG;26;334935
WYSIWYGTBT;WYSIWYG;27;328388
WYSIWYGTBT;WYSIWYG;28;188246
WYSIWYGTBT;WYSIWYG;29;271840
WYSIWYGTBT;WYSIWYG;30;347656
WYSIWYGTBT;WYSIWYG;31;73257
WYSIWYGTBT;WYSIWYG;32;704112
WYSIWYGTBT;WYSIWYG;33;654139
WYSIWYGTBT;WYSIWYG;34;590097
WYSIWYGTBT;WYSIWYG;35;294792
WYSIWYGTBT;WYSIWYG;36;412843
WYSIWYGTBT;WYSIWYG;37;268379
WYSIWYGTBT;WYSIWYG;38;516089
WYSIWYGTBT;WYSIWYG;39;333640
WYSIWYGTBT;WYSIWYG;40;346458
WYSIWYGTBT;WYSIWYG;41;34839
WYSIWYGTBT;WYSIWYG;42;2400039
WYSIWYGTBT;WYSIWYG;43;58280
WYSIWYGTBT;WYSIWYG;44;552187
WYSIWYGTBT;WYSIWYG;45;347866
WYSIWYGTBT;WYSIWYG;46;372452
WYSIWYGTBT;WYSIWYG;47;373262
WYSIWYGTBT;WYSIWYG;48;358377
WYSIWYGTBT;WYSIWYG;49;233641
WYSIWYGTBT;WYSIWYG;50;165323
WYSIWYGTBT;WYSIWYG;51;326252
WYSIWYGTBT;WYSIWYG;52;244243
WYSIWYGTBT;WYSIWYG;53;136769
WYSIWYGTBT;WYSIWYG;54;80509
WYSIWYGTBT;WYSIWYG;55;162700
WYSIWYGTBT;WYSIWYG;56;537318
WYSIWYGTBT;WYSIWYG;57;472965
WYSIWYGTBT;WYSIWYG;58;342458
WYSIWYGTBT;WYSIWYG;59;310524
